provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,308037.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERKOTAAN,MARET,311996.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERKOTAAN,SEPTEMBER,321688.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERDESAAN,MARET,316190.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERDESAAN,SEPTEMBER,322222.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERDESAANPERKOTAAN,MARET,314243.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERDESAAN,MAKANAN,490603.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,321967.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERKOTAAN,MAKANAN,553690.0,MAKANAN,PERKOTAAN,MARET,311996.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERKOTAAN,MAKANAN,553690.0,MAKANAN,PERKOTAAN,SEPTEMBER,321688.0,0
SUMATERA UTARA,2017,13396,1961354.0,PERKOTAAN,MAKANAN,553690.0,MAKANAN,PERDESAAN,MARET,316190.0,0
